"geoid","geography","name","short_name","latitude","longitude","race","percentage"
"1","us","United States","United States",NA,NA,"race_white",60.2
"50","state_vt","Vermont","Vermont",NA,NA,"race_white",92.6
"50001","county","Addison County, Vermont","Addison",44.031248,-73.141581,"race_white",92.7
"50003","county","Bennington County, Vermont","Bennington",43.035325,-73.11146,"race_white",94.4
"50005","county","Caledonia County, Vermont","Caledonia",44.468791,-72.112168,"race_white",94.9
"50007","county","Chittenden County, Vermont","Chittenden",44.460676,73.070525,"race_white",88.8
"50009","county","Essex County, Vermont","Essex",44.724021,-71.732736,"race_white",95.4
"50011","county","Franklin County, Vermont","Franklin",44.858964,-72.909402,"race_white",93.9
"50013","county","Grand Isle County, Vermont","Grand Isle",44.801788,-73.300758,"race_white",92.9
"50015","county","Lamoille County, Vermont","Lamoille",44.603504,-72.638356,"race_white",94.7
"50017","county","Orange County, Vermont","Orange",44.003392,-72.369687,"race_white",95.5
"50019","county","Orleans County, Vermont","Orleans",44.828442,-72.25163,"race_white",95.3
"50021","county","Rutland County, Vermont","Rutland",43.580844,-73.038196,"race_white",95.4
"50023","county","Washington County, Vermont","Washington",44.274953,-72.609475,"race_white",94.3
"50025","county","Windham County, Vermont","Windham",42.999143,-72.716335,"race_white",93.2
"50027","county","Windsor County, Vermont","Windsor",43.588143,-72.591515,"race_white",94.7
"1","us","United States","United States",NA,NA,"race_black",12.3
"50","state_vt","Vermont","Vermont",NA,NA,"race_black",1.2
"50001","county","Addison County, Vermont","Addison",44.031248,-73.141581,"race_black",1.2
"50003","county","Bennington County, Vermont","Bennington",43.035325,-73.11146,"race_black",0.4
"50005","county","Caledonia County, Vermont","Caledonia",44.468791,-72.112168,"race_black",0.9
"50007","county","Chittenden County, Vermont","Chittenden",44.460676,73.070525,"race_black",2.5
"50009","county","Essex County, Vermont","Essex",44.724021,-71.732736,"race_black",1
"50011","county","Franklin County, Vermont","Franklin",44.858964,-72.909402,"race_black",0.6
"50013","county","Grand Isle County, Vermont","Grand Isle",44.801788,-73.300758,"race_black",0.8
"50015","county","Lamoille County, Vermont","Lamoille",44.603504,-72.638356,"race_black",0.9
"50017","county","Orange County, Vermont","Orange",44.003392,-72.369687,"race_black",0.6
"50019","county","Orleans County, Vermont","Orleans",44.828442,-72.25163,"race_black",0.4
"50021","county","Rutland County, Vermont","Rutland",43.580844,-73.038196,"race_black",0.8
"50023","county","Washington County, Vermont","Washington",44.274953,-72.609475,"race_black",0.8
"50025","county","Windham County, Vermont","Windham",42.999143,-72.716335,"race_black",1.1
"50027","county","Windsor County, Vermont","Windsor",43.588143,-72.591515,"race_black",0.7
"1","us","United States","United States",NA,NA,"race_nhpi_amind",0.8
"50","state_vt","Vermont","Vermont",NA,NA,"race_nhpi_amind",0.3
"50001","county","Addison County, Vermont","Addison",44.031248,-73.141581,"race_nhpi_amind",0.3
"50003","county","Bennington County, Vermont","Bennington",43.035325,-73.11146,"race_nhpi_amind",0.2
"50005","county","Caledonia County, Vermont","Caledonia",44.468791,-72.112168,"race_nhpi_amind",0.2
"50007","county","Chittenden County, Vermont","Chittenden",44.460676,73.070525,"race_nhpi_amind",0.2
"50009","county","Essex County, Vermont","Essex",44.724021,-71.732736,"race_nhpi_amind",0.3
"50011","county","Franklin County, Vermont","Franklin",44.858964,-72.909402,"race_nhpi_amind",0.5
"50013","county","Grand Isle County, Vermont","Grand Isle",44.801788,-73.300758,"race_nhpi_amind",0.4
"50015","county","Lamoille County, Vermont","Lamoille",44.603504,-72.638356,"race_nhpi_amind",0.8
"50017","county","Orange County, Vermont","Orange",44.003392,-72.369687,"race_nhpi_amind",0.4
"50019","county","Orleans County, Vermont","Orleans",44.828442,-72.25163,"race_nhpi_amind",0.5
"50021","county","Rutland County, Vermont","Rutland",43.580844,-73.038196,"race_nhpi_amind",0.4
"50023","county","Washington County, Vermont","Washington",44.274953,-72.609475,"race_nhpi_amind",0.3
"50025","county","Windham County, Vermont","Windham",42.999143,-72.716335,"race_nhpi_amind",0.2
"50027","county","Windsor County, Vermont","Windsor",43.588143,-72.591515,"race_nhpi_amind",0.2
"1","us","United States","United States",NA,NA,"race_asian",5.6
"50","state_vt","Vermont","Vermont",NA,NA,"race_asian",1.9
"50001","county","Addison County, Vermont","Addison",44.031248,-73.141581,"race_asian",1.9
"50003","county","Bennington County, Vermont","Bennington",43.035325,-73.11146,"race_asian",1.1
"50005","county","Caledonia County, Vermont","Caledonia",44.468791,-72.112168,"race_asian",0.6
"50007","county","Chittenden County, Vermont","Chittenden",44.460676,73.070525,"race_asian",4.2
"50009","county","Essex County, Vermont","Essex",44.724021,-71.732736,"race_asian",0.6
"50011","county","Franklin County, Vermont","Franklin",44.858964,-72.909402,"race_asian",0.4
"50013","county","Grand Isle County, Vermont","Grand Isle",44.801788,-73.300758,"race_asian",0.5
"50015","county","Lamoille County, Vermont","Lamoille",44.603504,-72.638356,"race_asian",0.6
"50017","county","Orange County, Vermont","Orange",44.003392,-72.369687,"race_asian",0.2
"50019","county","Orleans County, Vermont","Orleans",44.828442,-72.25163,"race_asian",0.2
"50021","county","Rutland County, Vermont","Rutland",43.580844,-73.038196,"race_asian",1
"50023","county","Washington County, Vermont","Washington",44.274953,-72.609475,"race_asian",0.8
"50025","county","Windham County, Vermont","Windham",42.999143,-72.716335,"race_asian",1.1
"50027","county","Windsor County, Vermont","Windsor",43.588143,-72.591515,"race_asian",0.8
"1","us","United States","United States",NA,NA,"race_other",0.3
"50","state_vt","Vermont","Vermont",NA,NA,"race_other",0.2
"50001","county","Addison County, Vermont","Addison",44.031248,-73.141581,"race_other",0.1
"50003","county","Bennington County, Vermont","Bennington",43.035325,-73.11146,"race_other",0.1
"50005","county","Caledonia County, Vermont","Caledonia",44.468791,-72.112168,"race_other",0.1
"50007","county","Chittenden County, Vermont","Chittenden",44.460676,73.070525,"race_other",0.2
"50009","county","Essex County, Vermont","Essex",44.724021,-71.732736,"race_other",0.1
"50011","county","Franklin County, Vermont","Franklin",44.858964,-72.909402,"race_other",0.5
"50013","county","Grand Isle County, Vermont","Grand Isle",44.801788,-73.300758,"race_other",0.1
"50015","county","Lamoille County, Vermont","Lamoille",44.603504,-72.638356,"race_other",0
"50017","county","Orange County, Vermont","Orange",44.003392,-72.369687,"race_other",0.2
"50019","county","Orleans County, Vermont","Orleans",44.828442,-72.25163,"race_other",0.1
"50021","county","Rutland County, Vermont","Rutland",43.580844,-73.038196,"race_other",0.1
"50023","county","Washington County, Vermont","Washington",44.274953,-72.609475,"race_other",0.1
"50025","county","Windham County, Vermont","Windham",42.999143,-72.716335,"race_other",0
"50027","county","Windsor County, Vermont","Windsor",43.588143,-72.591515,"race_other",0.2
"1","us","United States","United States",NA,NA,"race_twoplus",2.4
"50","state_vt","Vermont","Vermont",NA,NA,"race_twoplus",1.9
"50001","county","Addison County, Vermont","Addison",44.031248,-73.141581,"race_twoplus",1.5
"50003","county","Bennington County, Vermont","Bennington",43.035325,-73.11146,"race_twoplus",1.9
"50005","county","Caledonia County, Vermont","Caledonia",44.468791,-72.112168,"race_twoplus",1.7
"50007","county","Chittenden County, Vermont","Chittenden",44.460676,73.070525,"race_twoplus",1.8
"50009","county","Essex County, Vermont","Essex",44.724021,-71.732736,"race_twoplus",1.3
"50011","county","Franklin County, Vermont","Franklin",44.858964,-72.909402,"race_twoplus",2.6
"50013","county","Grand Isle County, Vermont","Grand Isle",44.801788,-73.300758,"race_twoplus",3.3
"50015","county","Lamoille County, Vermont","Lamoille",44.603504,-72.638356,"race_twoplus",1.2
"50017","county","Orange County, Vermont","Orange",44.003392,-72.369687,"race_twoplus",1.6
"50019","county","Orleans County, Vermont","Orleans",44.828442,-72.25163,"race_twoplus",2
"50021","county","Rutland County, Vermont","Rutland",43.580844,-73.038196,"race_twoplus",0.8
"50023","county","Washington County, Vermont","Washington",44.274953,-72.609475,"race_twoplus",1.9
"50025","county","Windham County, Vermont","Windham",42.999143,-72.716335,"race_twoplus",2
"50027","county","Windsor County, Vermont","Windsor",43.588143,-72.591515,"race_twoplus",1.8
"1","us","United States","United States",NA,NA,"race_hispanic",18.3
"50","state_vt","Vermont","Vermont",NA,NA,"race_hispanic",2
"50001","county","Addison County, Vermont","Addison",44.031248,-73.141581,"race_hispanic",2.3
"50003","county","Bennington County, Vermont","Bennington",43.035325,-73.11146,"race_hispanic",1.9
"50005","county","Caledonia County, Vermont","Caledonia",44.468791,-72.112168,"race_hispanic",1.6
"50007","county","Chittenden County, Vermont","Chittenden",44.460676,73.070525,"race_hispanic",2.3
"50009","county","Essex County, Vermont","Essex",44.724021,-71.732736,"race_hispanic",1.3
"50011","county","Franklin County, Vermont","Franklin",44.858964,-72.909402,"race_hispanic",1.5
"50013","county","Grand Isle County, Vermont","Grand Isle",44.801788,-73.300758,"race_hispanic",1.9
"50015","county","Lamoille County, Vermont","Lamoille",44.603504,-72.638356,"race_hispanic",1.8
"50017","county","Orange County, Vermont","Orange",44.003392,-72.369687,"race_hispanic",1.4
"50019","county","Orleans County, Vermont","Orleans",44.828442,-72.25163,"race_hispanic",1.4
"50021","county","Rutland County, Vermont","Rutland",43.580844,-73.038196,"race_hispanic",1.4
"50023","county","Washington County, Vermont","Washington",44.274953,-72.609475,"race_hispanic",1.9
"50025","county","Windham County, Vermont","Windham",42.999143,-72.716335,"race_hispanic",2.3
"50027","county","Windsor County, Vermont","Windsor",43.588143,-72.591515,"race_hispanic",1.6
